ResultTable(results=
                                       reconstructor            test_data                     measure_values                                                                                                                                                                                                                                                                                                                                           misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                                                                                                                                                                      
0        0             DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 22.98, ssim: 0.617}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 1000}}
         1             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 24.46, ssim: 0.7148}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 2000}}
         2             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 25.25, ssim: 0.7602}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 3000}}
         3             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 25.86, ssim: 0.7922}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 4000}}
         4             DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.37, ssim: 0.816}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 5000}}
         5             DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.6, ssim: 0.8289}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 6000}}
         6             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.69, ssim: 0.8336}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 7000}}
         7             DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 26.8, ssim: 0.8397}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 8000}}
         8             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.89, ssim: 0.8437}       {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 9000}}
         9             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.93, ssim: 0.8468}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 10000}}
         10            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 26.96, ssim: 0.8489}      {'hp_choice': {'lr': 0.01, 'scales': 5, 'gamma': 0.001, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[0, 0], [0, 0], [0, 0], [2, 128], [2, 128]], 'iterations': 11000}}
