ResultTable(results=
                                       reconstructor            test_data                     measure_values                                                                                                                                                                                                                                                                                                                                                                                      misc
task_ind sub_task_ind                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
0        0             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 29.96, ssim: 0.8956}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 3000}}
         1             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 32.75, ssim: 0.9102}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 4000}}
         2             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 35.76, ssim: 0.9209}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 5000}}
         3             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.01, ssim: 0.9228}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 6000}}
         4             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.17, ssim: 0.9249}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 7000}}
         5             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.33, ssim: 0.9261}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 8000}}
         6             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.44, ssim: 0.9273}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 9000}}
         7             DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 36.52, ssim: 0.928}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 10000}}
         8             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.54, ssim: 0.9281}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 11000}}
         9             DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.57, ssim: 0.9284}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 12000}}
         10            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.73, ssim: 0.9286}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 13000}}
         11            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 38.2, ssim: 0.9296}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 14000}}
         12            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 38.3, ssim: 0.9298}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 15000}}
         13            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.33, ssim: 0.9299}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 16000}}
         14            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.32, ssim: 0.9299}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 17000}}
         15            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.31, ssim: 0.9304}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 18000}}
         16            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 38.3, ssim: 0.9304}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 19000}}
         17            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 38.29, ssim: 0.9303}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 1, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 20000}}
         18            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 35.53, ssim: 0.8959}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 3000}}
         19            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.66, ssim: 0.9104}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 4000}}
         20            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 36.81, ssim: 0.9132}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 5000}}
         21            DeepCapsulePriorReconstructor  validation part 0:5   mean: {psnr: 37.1, ssim: 0.9166}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 6000}}
         22            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.28, ssim: 0.9193}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 7000}}
         23            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.49, ssim: 0.9218}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 8000}}
         24            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.56, ssim: 0.9228}   {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 9000}}
         25            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.76, ssim: 0.9241}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 10000}}
         26            DeepCapsulePriorReconstructor  validation part 0:5  mean: {psnr: 37.83, ssim: 0.9247}  {'hp_choice': {'lr': 0.01, 'scales': 6, 'gamma': 16, 'use_fbp': False, 'iter_input': False, 'weight_init': 'xavier_uniform', 'same_filter': False, 'use_bias': True, 'iter_rout': 2, 'loss_function': 'poisson', 'capsules': [[1, 16], [1, 32], [2, 64], [2, 64], [2, 128], [2, 128]], 'skip_capsules': [[1, 32], [2, 64], [2, 64], [2, 128], [2, 128], [2, 128]], 'iterations': 11000}}
